T,k1,k2,k4,k6,k12
1.680000000000000826e+00,3.442876479908820175e-01,5.587179976274116999e-01,7.672307996919873752e-01,8.347926222818107256e-01,8.459927865978049688e-01
1.685000000000000941e+00,3.430718661723288765e-01,5.567448908128106444e-01,7.634946926438073156e-01,8.276258484596349385e-01,8.363615965412135589e-01
1.690000000000000835e+00,3.418547293065900550e-01,5.547530751903732016e-01,7.596472496618216219e-01,8.203250614391426332e-01,8.271163534190333344e-01
1.695000000000000728e+00,3.406364020952513672e-01,5.527433756302715384e-01,7.556968196142936911e-01,8.129441245441353381e-01,8.182105907705853332e-01
1.700000000000000844e+00,3.394170469128711676e-01,5.507166015217281885e-01,7.516515743155598450e-01,8.055289080433074567e-01,8.096073694119358954e-01
1.705000000000000959e+00,3.381968207338827415e-01,5.486735517068467294e-01,7.475194990569372644e-01,7.981176622529067011e-01,8.012767879450604092e-01
1.710000000000000853e+00,3.369758788407397621e-01,5.466150020416730149e-01,7.433083553265444898e-01,7.907415843511070852e-01,7.931942495220671852e-01
1.715000000000000746e+00,3.357543690785115831e-01,5.445417216853878362e-01,7.390256696060418795e-01,7.834255126204506814e-01,7.853391936019086250e-01
1.720000000000000862e+00,3.345324428138953254e-01,5.424544625665109754e-01,7.346787281647951806e-01,7.761887203017185932e-01,7.776941676507225232e-01
1.725000000000000977e+00,3.333102434888159937e-01,5.403539616921640976e-01,7.302745500148426494e-01,7.690456587383658338e-01,7.702441285950549776e-01
1.730000000000000870e+00,3.320879095713992757e-01,5.382409415832792865e-01,7.258198909787521025e-01,7.620067475744289887e-01,7.629759778882143628e-01
1.735000000000000764e+00,3.308655806422146628e-01,5.361161084116441433e-01,7.213212228762703182e-01,7.550790562560475427e-01,7.558782092031983701e-01
1.740000000000000879e+00,3.296433904509401547e-01,5.339801617010312418e-01,7.167847344602410464e-01,7.482669442726578302e-01,7.489406422234172744e-01
1.745000000000000995e+00,3.284214687648836506e-01,5.318337735915615871e-01,7.122163363337823405e-01,7.415726265025407438e-01,7.421542331598200981e-01
1.750000000000000888e+00,3.271999451937014913e-01,5.296776128260741734e-01,7.076216411716632626e-01,7.349966421044134002e-01,7.355108936901726402e-01
1.755000000000000782e+00,3.259789441178996827e-01,5.275123278492003243e-01,7.030059791501844790e-01,7.285382719701697374e-01,7.290033571405456492e-01
1.760000000000000897e+00,3.247585865651105297e-01,5.253385561942993665e-01,6.983743949717794441e-01,7.221958691516765505e-01,7.226250636094282420e-01
1.765000000000001013e+00,3.235389925115851883e-01,5.231569187524879316e-01,6.937316453148327788e-01,7.159671129219895569e-01,7.163700319334780353e-01
1.770000000000000906e+00,3.223202773283697642e-01,5.209680249529394791e-01,6.890822171534697338e-01,7.098492500801082405e-01,7.102328161390228933e-01
1.775000000000000799e+00,3.211025540794666955e-01,5.187724670008279082e-01,6.844303117869990905e-01,7.038392403901919669e-01,7.042084066044566049e-01
1.780000000000000915e+00,3.198859338837680699e-01,5.165708223220379924e-01,6.797798709667904893e-01,6.979338946910833563e-01,6.982921855280824763e-01
1.785000000000001030e+00,3.186705231128519333e-01,5.143636616034011899e-01,6.751345777800126235e-01,6.921299733775313490e-01,6.924798890539656249e-01
1.790000000000000924e+00,3.174564276964277343e-01,5.121515343176066271e-01,6.704978536453690685e-01,6.864242440318695238e-01,6.867675459965032481e-01
1.795000000000000817e+00,3.162437487325144292e-01,5.099349787196507666e-01,6.658728892072754979e-01,6.808135432101461992e-01,6.811514744275996014e-01
1.800000000000000933e+00,3.150325860179494231e-01,5.077145236231930259e-01,6.612626298529992175e-01,6.752948004784546931e-01,6.756282333597599665e-01
1.805000000000000826e+00,3.138230360277828868e-01,5.054906785872950170e-01,6.566697947163472326e-01,6.698650544056942158e-01,6.701946112175342085e-01
1.810000000000000941e+00,3.126151930765709852e-01,5.032639440383237517e-01,6.520968932477447799e-01,6.645214844636097018e-01,6.648475971693383890e-01
1.815000000000001057e+00,3.114091517086860494e-01,5.010348066536444156e-01,6.475462203547891482e-01,6.592613861922117513e-01,6.595843660250904072e-01
1.820000000000000950e+00,3.102049966008381676e-01,4.988037370967648432e-01,6.430198765716713671e-01,6.540821956191326114e-01,6.544022644439100311e-01
1.825000000000000844e+00,3.090028178276417736e-01,4.965712019022741064e-01,6.385197768632447923e-01,6.489814739274460953e-01,6.492987956463472932e-01
1.830000000000000959e+00,3.078026991554240754e-01,4.943376438659721206e-01,6.340476510890983297e-01,6.439569028016126628e-01,6.442716009824603907e-01
1.835000000000001075e+00,3.066047244781879288e-01,4.921035028604417438e-01,6.296050710052906174e-01,6.390062874017670147e-01,6.393184541919619823e-01
1.840000000000000968e+00,3.054089696519214914e-01,4.898692022692333059e-01,6.251934364875925132e-01,6.341275413745964817e-01,6.344372489941466631e-01
